,Cluster,customer_number,baskets,total_spend,average_spend,average_item_spend,bakery,cashpoint,confectionary,dairy,deli,discount_bakery,drinks,frozen,fruit_veg,grocery_food,grocery_health_pets,lottery,meat,newspapers_magazines,practical_items,prepared_meals,seasonal_gifting,soft_drinks,tobacco,world_foods
0,5,4749,220,631.12,2.87,2.4273846153846153,14.379999999999999,290.0,24.009999999999998,35.61,1.0,1.0,124.88,10.19,14.45,9.99,32.69,1.0,2.17,20.92,2.2,30.570000000000004,1.0,17.38,1.68,1.0
1,6,4757,248,452.42,1.82,1.3586186186186187,8.6,1.0,46.03,162.78,14.190000000000001,1.0,21.84,1.0,82.21,21.160000000000004,20.919999999999998,1.0,6.07,1.4,1.0,40.89999999999999,2.71,18.950000000000003,4.66,1.0
2,6,144,226,261.16,1.16,0.861914191419142,9.709999999999999,1.0,48.89999999999999,36.669999999999995,3.8,1.0,2.55,2.09,35.32,64.14,7.949999999999999,1.0,8.370000000000001,4.48,1.0,14.309999999999999,1.27,0.42,1.0,21.179999999999996
3,0,572,285,638.79,2.24,1.8462138728323698,56.670000000000016,1.0,43.84000000000001,16.830000000000002,37.06999999999999,5.920000000000001,1.0,19.849999999999998,39.98,13.479999999999999,3.63,19.0,20.85,42.750000000000036,3.4,8.79,13.91,10.0,271.84000000000003,10.98
4,0,669,285,561.42,1.97,1.7327777777777778,17.880000000000003,1.0,6.530000000000001,18.409999999999997,1.0,1.0,319.54000000000013,4.98,14.69,3.47,23.08,12.5,47.18999999999998,18.7,1.66,9.16,2.97,37.349999999999966,22.32,0.99
5,1,792,830,1267.05,1.53,1.4784714119019835,59.22999999999998,204.00000000000006,29.700000000000006,69.53000000000004,15.6,1.0,3.82,8.77,72.40000000000002,52.59000000000005,4.27,185.0,97.44,10.999999999999996,1.0,81.36999999999996,1.0,3.67,365.10000000000014,3.56
6,3,928,276,1074.51,3.89,3.654795918367347,6.04,50.0,11.04,40.33000000000001,23.79,1.0,2.97,37.220000000000006,24.340000000000003,48.059999999999995,74.29000000000002,1.0,0.97,4.75,3.5999999999999996,19.019999999999996,1.0,8.2,719.8900000000001,1.0
7,6,1031,60,84.46,1.41,1.2240579710144928,1.0,1.0,0.87,7.42,2.45,1.0,16.14,10.629999999999999,10.620000000000001,5.340000000000001,3.17,1.0,7.930000000000001,3.0800000000000005,1.0,5.0,8.51,1.41,1.0,0.89
8,2,1079,1040,1730.24,1.66,1.3591830322073841,50.80999999999998,1.0,102.77999999999999,224.56000000000003,144.45000000000002,1.0,1.0,161.55999999999997,296.33999999999975,168.9899999999999,174.8500000000001,1.0,192.14000000000007,93.00000000000018,23.19,72.45000000000005,10.059999999999999,12.18,1.0,2.88
9,6,1325,191,441.8,2.31,2.0644859813084113,7.619999999999999,1.0,23.180000000000003,54.41000000000001,3.74,2.59,200.93999999999997,24.97,12.89,16.149999999999995,35.84,1.0,14.06,5.049999999999999,1.0,2.99,2.54,34.829999999999984,1.0,1.0
